150	1065
15	59	1.0
16	134	1.0
16	113	1.0
16	73	1.0
16	108	1.0
16	49	1.0
16	140	1.0
16	118	1.0
17	97	1.0
17	101	1.0
17	70	1.0
17	41	1.0
17	77	1.0
17	47	1.0
17	113	1.0
17	115	1.0
17	121	1.0
17	54	1.0
17	89	1.0
17	25	1.0
17	92	1.0
18	129	1.0
18	131	1.0
18	46	1.0
18	111	1.0
18	95	1.0
19	64	1.0
19	103	1.0
19	72	1.0
19	41	1.0
19	141	1.0
19	78	1.0
19	145	1.0
19	20	1.0
19	85	1.0
19	121	1.0
19	116	1.0
19	123	1.0
19	106	1.0
20	99	1.0
20	68	1.0
20	69	1.0
20	38	1.0
20	40	1.0
20	106	1.0
20	109	1.0
20	50	1.0
20	85	1.0
20	118	1.0
20	120	1.0
20	138	1.0
21	66	1.0
21	131	1.0
21	132	1.0
21	69	1.0
21	73	1.0
21	107	1.0
21	108	1.0
21	45	1.0
21	109	1.0
21	145	1.0
21	140	1.0
21	83	1.0
21	84	1.0
21	90	1.0
22	65	1.0
22	131	1.0
22	71	1.0
22	136	1.0
22	137	1.0
22	44	1.0
22	49	1.0
22	57	1.0
22	26	1.0
22	123	1.0
23	128	1.0
23	132	1.0
23	42	1.0
23	44	1.0
23	114	1.0
23	111	1.0
23	49	1.0
23	82	1.0
23	51	1.0
23	147	1.0
23	121	1.0
23	57	1.0
23	143	1.0
24	66	1.0
24	35	1.0
24	133	1.0
24	42	1.0
24	119	1.0
24	130	1.0
24	146	1.0
24	53	1.0
24	55	1.0
24	88	1.0
24	89	1.0
24	91	1.0
24	62	1.0
25	64	1.0
25	34	1.0
25	36	1.0
25	130	1.0
25	40	1.0
25	73	1.0
25	76	1.0
25	142	1.0
25	45	1.0
25	144	1.0
25	83	1.0
25	149	1.0
25	108	1.0
25	55	1.0
25	68	1.0
26	32	1.0
26	130	1.0
26	40	1.0
26	42	1.0
26	139	1.0
26	77	1.0
26	111	1.0
26	141	1.0
26	72	1.0
26	51	1.0
26	148	1.0
26	120	1.0
27	97	1.0
27	132	1.0
27	134	1.0
27	70	1.0
27	104	1.0
27	42	1.0
27	147	1.0
27	116	1.0
27	138	1.0
27	57	1.0
27	106	1.0
27	63	1.0
28	102	1.0
28	70	1.0
28	72	1.0
28	137	1.0
28	80	1.0
28	50	1.0
28	117	1.0
29	66	1.0
29	35	1.0
29	36	1.0
29	101	1.0
29	102	1.0
29	75	1.0
29	76	1.0
29	142	1.0
29	147	1.0
29	118	1.0
29	55	1.0
29	132	1.0
29	121	1.0
30	34	1.0
30	131	1.0
30	102	1.0
30	129	1.0
30	74	1.0
30	43	1.0
30	140	1.0
30	113	1.0
30	147	1.0
30	60	1.0
30	42	1.0
30	126	1.0
31	36	1.0
31	118	1.0
31	40	1.0
31	124	1.0
31	75	1.0
31	140	1.0
31	142	1.0
31	145	1.0
31	86	1.0
31	137	1.0
31	120	1.0
31	132	1.0
31	58	1.0
31	60	1.0
32	102	1.0
32	40	1.0
32	46	1.0
32	47	1.0
32	84	1.0
32	78	1.0
32	61	1.0
33	97	1.0
33	37	1.0
33	106	1.0
33	142	1.0
33	48	1.0
33	82	1.0
33	126	1.0
33	89	1.0
33	57	1.0
33	62	1.0
33	149	1.0
34	96	1.0
34	123	1.0
34	68	1.0
34	133	1.0
34	76	1.0
34	81	1.0
34	78	1.0
34	115	1.0
34	52	1.0
34	53	1.0
34	91	1.0
34	61	1.0
34	117	1.0
35	147	1.0
35	135	1.0
35	78	1.0
35	80	1.0
35	114	1.0
35	51	1.0
35	118	1.0
35	124	1.0
35	126	1.0
36	129	1.0
36	133	1.0
36	134	1.0
36	136	1.0
36	148	1.0
36	40	1.0
36	45	1.0
36	48	1.0
36	66	1.0
36	67	1.0
36	68	1.0
36	73	1.0
36	75	1.0
36	85	1.0
36	101	1.0
36	111	1.0
36	118	1.0
36	119	1.0
36	121	1.0
37	64	1.0
37	69	1.0
37	102	1.0
37	136	1.0
37	110	1.0
37	148	1.0
37	121	1.0
37	133	1.0
38	66	1.0
38	68	1.0
38	101	1.0
38	74	1.0
38	45	1.0
38	142	1.0
38	143	1.0
38	146	1.0
38	119	1.0
38	56	1.0
38	57	1.0
38	123	1.0
39	69	1.0
39	72	1.0
39	41	1.0
39	74	1.0
39	139	1.0
39	98	1.0
39	112	1.0
39	52	1.0
39	121	1.0
39	57	1.0
39	60	1.0
39	127	1.0
40	65	1.0
40	131	1.0
40	105	1.0
40	74	1.0
40	76	1.0
40	79	1.0
40	49	1.0
40	115	1.0
40	59	1.0
40	124	1.0
40	62	1.0
41	96	1.0
41	131	1.0
41	130	1.0
41	99	1.0
41	100	1.0
41	101	1.0
41	74	1.0
41	132	1.0
41	140	1.0
41	141	1.0
41	46	1.0
41	53	1.0
41	86	1.0
41	121	1.0
41	89	1.0
41	59	1.0
42	64	1.0
42	107	1.0
42	111	1.0
42	81	1.0
42	83	1.0
42	52	1.0
42	148	1.0
42	127	1.0
43	120	1.0
43	145	1.0
43	69	1.0
44	133	1.0
44	72	1.0
44	105	1.0
44	138	1.0
44	66	1.0
44	47	1.0
44	141	1.0
44	115	1.0
44	116	1.0
44	85	1.0
44	94	1.0
45	84	1.0
45	121	1.0
45	103	1.0
45	107	1.0
45	110	1.0
45	146	1.0
45	52	1.0
45	86	1.0
45	89	1.0
45	59	1.0
45	93	1.0
46	96	1.0
46	133	1.0
46	70	1.0
46	129	1.0
46	74	1.0
46	135	1.0
46	78	1.0
46	47	1.0
46	53	1.0
46	87	1.0
46	138	1.0
46	134	1.0
47	133	1.0
47	139	1.0
47	93	1.0
47	147	1.0
47	87	1.0
47	60	1.0
47	61	1.0
48	64	1.0
48	132	1.0
48	76	1.0
48	79	1.0
48	122	1.0
48	63	1.0
49	133	1.0
49	101	1.0
49	142	1.0
49	113	1.0
49	51	1.0
49	116	1.0
49	60	1.0
49	93	1.0
49	94	1.0
49	63	1.0
50	96	1.0
50	128	1.0
50	134	1.0
50	81	1.0
50	146	1.0
50	83	1.0
50	55	1.0
50	88	1.0
50	59	1.0
50	62	1.0
51	132	1.0
51	83	1.0
51	53	1.0
51	57	1.0
51	90	1.0
51	63	1.0
52	149	1.0
52	66	1.0
52	130	1.0
52	145	1.0
52	71	1.0
52	77	1.0
52	113	1.0
52	53	1.0
52	126	1.0
52	57	1.0
52	138	1.0
52	62	1.0
52	95	1.0
53	99	1.0
53	81	1.0
53	106	1.0
53	66	1.0
53	144	1.0
53	56	1.0
53	142	1.0
53	89	1.0
53	84	1.0
53	135	1.0
54	66	1.0
54	69	1.0
54	136	1.0
54	115	1.0
54	116	1.0
54	149	1.0
54	124	1.0
54	93	1.0
54	95	1.0
55	101	1.0
55	110	1.0
55	93	1.0
55	131	1.0
55	85	1.0
55	86	1.0
55	87	1.0
55	123	1.0
56	64	1.0
56	97	1.0
56	106	1.0
56	143	1.0
56	115	1.0
56	86	1.0
56	134	1.0
56	90	1.0
56	101	1.0
56	85	1.0
56	63	1.0
57	64	1.0
57	67	1.0
57	97	1.0
57	136	1.0
57	128	1.0
57	146	1.0
57	125	1.0
57	114	1.0
57	126	1.0
57	58	1.0
57	93	1.0
57	94	1.0
58	66	1.0
58	123	1.0
58	135	1.0
58	138	1.0
58	107	1.0
58	121	1.0
58	91	1.0
59	98	1.0
59	106	1.0
59	140	1.0
59	77	1.0
59	104	1.0
59	149	1.0
59	136	1.0
59	61	1.0
59	94	1.0
60	133	1.0
60	135	1.0
60	138	1.0
60	144	1.0
60	146	1.0
60	147	1.0
60	72	1.0
60	86	1.0
60	96	1.0
60	101	1.0
60	118	1.0
60	123	1.0
60	126	1.0
61	68	1.0
61	69	1.0
61	70	1.0
61	77	1.0
61	82	1.0
61	118	1.0
61	88	1.0
62	64	1.0
62	101	1.0
62	129	1.0
62	135	1.0
62	140	1.0
62	110	1.0
62	72	1.0
62	115	1.0
63	65	1.0
63	66	1.0
63	107	1.0
63	70	1.0
63	81	1.0
63	141	1.0
63	114	1.0
63	87	1.0
63	121	1.0
64	130	1.0
64	72	1.0
64	76	1.0
64	141	1.0
64	149	1.0
64	122	1.0
64	101	1.0
64	125	1.0
64	69	1.0
65	96	1.0
65	97	1.0
65	98	1.0
65	114	1.0
65	79	1.0
66	149	1.0
66	129	1.0
66	140	1.0
66	74	1.0
66	75	1.0
66	78	1.0
66	91	1.0
66	113	1.0
66	118	1.0
66	127	1.0
67	134	1.0
67	103	1.0
67	144	1.0
67	114	1.0
67	125	1.0
68	116	1.0
68	75	1.0
68	114	1.0
68	142	1.0
68	141	1.0
68	82	1.0
68	89	1.0
68	132	1.0
68	122	1.0
68	127	1.0
69	128	1.0
69	130	1.0
69	139	1.0
69	134	1.0
69	73	1.0
69	77	1.0
69	141	1.0
69	81	1.0
69	118	1.0
69	105	1.0
69	133	1.0
70	97	1.0
70	98	1.0
70	123	1.0
70	133	1.0
70	134	1.0
70	81	1.0
70	105	1.0
70	75	1.0
70	125	1.0
70	140	1.0
70	148	1.0
70	90	1.0
71	106	1.0
71	114	1.0
71	120	1.0
71	116	1.0
71	90	1.0
71	123	1.0
71	127	1.0
72	115	1.0
72	133	1.0
72	135	1.0
72	149	1.0
72	105	1.0
73	80	1.0
73	100	1.0
73	105	1.0
73	74	1.0
73	107	1.0
73	114	1.0
73	115	1.0
73	92	1.0
73	106	1.0
73	126	1.0
74	96	1.0
74	101	1.0
74	75	1.0
74	141	1.0
74	146	1.0
74	78	1.0
74	92	1.0
74	127	1.0
75	97	1.0
75	134	1.0
75	136	1.0
75	112	1.0
75	148	1.0
75	149	1.0
75	123	1.0
75	124	1.0
76	96	1.0
76	139	1.0
76	93	1.0
76	116	1.0
76	148	1.0
76	122	1.0
77	147	1.0
77	81	1.0
77	104	1.0
77	106	1.0
77	98	1.0
77	115	1.0
77	138	1.0
77	126	1.0
78	97	1.0
78	137	1.0
78	109	1.0
78	146	1.0
78	139	1.0
78	86	1.0
78	119	1.0
78	127	1.0
79	98	1.0
79	113	1.0
79	140	1.0
79	108	1.0
79	81	1.0
79	86	1.0
79	122	1.0
79	118	1.0
80	135	1.0
80	140	1.0
80	149	1.0
80	86	1.0
80	137	1.0
80	100	1.0
80	95	1.0
81	132	1.0
81	104	1.0
81	137	1.0
81	138	1.0
81	85	1.0
82	130	1.0
82	134	1.0
82	110	1.0
82	83	1.0
82	116	1.0
82	122	1.0
82	92	1.0
82	127	1.0
83	129	1.0
83	100	1.0
83	104	1.0
83	140	1.0
83	110	1.0
83	144	1.0
83	87	1.0
83	120	1.0
83	119	1.0
83	106	1.0
84	100	1.0
84	104	1.0
84	114	1.0
84	88	1.0
84	132	1.0
84	122	1.0
84	93	1.0
84	94	1.0
85	98	1.0
85	108	1.0
85	138	1.0
85	148	1.0
86	128	1.0
86	145	1.0
86	94	1.0
86	95	1.0
86	96	1.0
86	101	1.0
86	103	1.0
86	105	1.0
86	108	1.0
86	124	1.0
86	127	1.0
87	132	1.0
87	141	1.0
87	113	1.0
88	99	1.0
88	114	1.0
88	143	1.0
88	104	1.0
88	91	1.0
88	95	1.0
89	128	1.0
89	108	1.0
89	110	1.0
89	114	1.0
89	116	1.0
89	92	1.0
89	127	1.0
90	98	1.0
90	106	1.0
90	92	1.0
90	93	1.0
90	95	1.0
91	131	1.0
91	143	1.0
91	123	1.0
91	94	1.0
91	95	1.0
92	129	1.0
92	136	1.0
92	114	1.0
92	95	1.0
93	129	1.0
93	146	1.0
93	135	1.0
93	112	1.0
93	140	1.0
93	117	1.0
94	97	1.0
94	118	1.0
94	134	1.0
95	107	1.0
95	127	1.0
96	131	1.0
96	146	1.0
96	98	1.0
96	109	1.0
96	104	1.0
96	129	1.0
96	122	1.0
97	131	1.0
97	115	1.0
97	149	1.0
97	135	1.0
97	125	1.0
98	139	1.0
98	111	1.0
98	140	1.0
98	120	1.0
98	117	1.0
99	136	1.0
99	118	1.0
99	119	1.0
100	144	1.0
100	112	1.0
100	138	1.0
100	108	1.0
100	145	1.0
100	123	1.0
102	103	1.0
102	142	1.0
102	121	1.0
102	127	1.0
103	108	1.0
103	145	1.0
103	124	1.0
104	130	1.0
104	131	1.0
104	134	1.0
104	135	1.0
104	136	1.0
104	138	1.0
104	108	1.0
104	141	1.0
104	148	1.0
104	126	1.0
105	132	1.0
105	109	1.0
105	148	1.0
106	139	1.0
106	125	1.0
106	136	1.0
106	113	1.0
106	119	1.0
106	122	1.0
106	117	1.0
107	134	1.0
107	146	1.0
107	124	1.0
108	139	1.0
108	110	1.0
108	145	1.0
108	148	1.0
109	131	1.0
109	110	1.0
110	147	1.0
110	148	1.0
110	120	1.0
110	127	1.0
110	125	1.0
111	144	1.0
111	118	1.0
111	132	1.0
112	128	1.0
112	143	1.0
112	144	1.0
112	115	1.0
112	120	1.0
112	123	1.0
112	127	1.0
114	142	1.0
114	149	1.0
115	139	1.0
115	135	1.0
115	149	1.0
116	118	1.0
116	142	1.0
116	143	1.0
116	117	1.0
116	124	1.0
116	149	1.0
117	124	1.0
117	140	1.0
117	121	1.0
118	136	1.0
119	144	1.0
119	145	1.0
119	148	1.0
119	122	1.0
120	128	1.0
120	137	1.0
121	145	1.0
122	140	1.0
122	126	1.0
123	140	1.0
124	142	1.0
124	141	1.0
124	144	1.0
124	136	1.0
124	135	1.0
125	145	1.0
127	131	1.0
127	137	1.0
127	138	1.0
127	130	1.0
129	131	1.0
129	149	1.0
130	146	1.0
130	141	1.0
130	137	1.0
131	140	1.0
131	143	1.0
132	143	1.0
134	136	1.0
135	146	1.0
136	140	1.0
136	142	1.0
137	140	1.0
138	148	1.0
139	140	1.0
140	144	1.0
141	148	1.0
143	147	1.0
